x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89638.746069591,43122.316982707,0.0,0.0,0.0,0.98377354359851,0.179414645209442,8.33333333333333
89638.187770255,43122.537757983,0.0,0.0,0.0,0.980788275585339,0.195075263614679,8.33333333333333
89637.637027799,43122.776756196,0.0,0.0,0.0,0.977342431752353,0.211664288665796,8.33333333333333
89637.094993210,43123.034887260,0.0,0.0,0.0,0.973351556599123,0.229318004670512,8.33333333333333
89636.563019230,43123.313151873,0.0,0.0,0.0,0.968714758684285,0.248176784384132,8.33333333333333
89636.042695556,43123.612624106,0.0,0.0,0.0,0.963312336327097,0.268382828586386,8.33333333333333
89635.535886351,43123.934424484,0.0,0.0,0.0,0.957003820148436,0.290075314739637,8.33333333333333
89635.044767324,43124.279679363,0.0,0.0,0.0,0.949627133034592,0.31338204831244,8.33333333333333
89634.571856128,43124.649462955,0.0,0.0,0.0,0.94099995626413,0.338406681835489,8.33333333333333
89634.119909285,43125.044587899,0.0,0.0,0.0,0.931207259948316,0.364490108260224,8.33333333333333
89633.689887384,43125.463481000,0.0,0.0,0.0,0.921550885623339,0.388257601608571,8.33333333333333
89633.280647092,43125.902719779,0.0,0.0,0.0,0.912475664377866,0.409130983815908,8.33333333333333
89632.890432283,43126.358960127,0.0,0.0,0.0,0.904226979971254,0.427052184975169,8.33333333333333
89632.517064693,43126.829103631,0.0,0.0,0.0,0.896988550368225,0.442053775584272,8.33333333333333
89632.158086451,43127.310335814,0.0,0.0,0.0,0.890888925197504,0.45422122689328,8.33333333333333
89631.810867185,43127.800126466,0.0,0.0,0.0,0.88601225444426,0.463661821778114,8.33333333333333
89631.472678127,43128.296203492,0.0,0.0,0.0,0.882409832387487,0.470481548741167,8.33333333333333
89631.140748171,43128.796495161,0.0,0.0,0.0,0.880110347061512,0.474769182861804,8.33333333333333
89630.812289905,43129.299074918,0.0,0.0,0.0,0.879127530948026,0.476586596883743,8.33333333333333
89630.484514964,43129.802100407,0.0,0.0,0.0,0.8794494474217,0.475992299758794,8.33333333333333
89630.155362488,43130.304225258,0.0,0.0,0.0,0.880218870313999,0.474567951238963,8.33333333333333
89629.824628635,43130.805309874,0.0,0.0,0.0,0.880945704838483,0.473217355056456,8.33333333333333
89629.492401941,43131.305405924,0.0,0.0,0.0,0.881630190401346,0.47194089394,8.33333333333333
89629.158770662,43131.804565992,0.0,0.0,0.0,0.882272557853369,0.470738923033643,8.33333333333333
89628.823822634,43132.302843727,0.0,0.0,0.0,0.882873028472224,0.469611771143233,8.33333333333333
89628.487645711,43132.800293147,0.0,0.0,0.0,0.88343181200499,0.468559743829513,8.33333333333333
89628.150327351,43133.296969229,0.0,0.0,0.0,0.883949106382846,0.467583123438996,8.33333333333333
89627.811954759,43133.792927652,0.0,0.0,0.0,0.884425096435525,0.466682171070432,8.33333333333333
89627.472614886,43134.288224768,0.0,0.0,0.0,0.884859952966936,0.465857127921589,8.33333333333333
89627.132394415,43134.782917608,0.0,0.0,0.0,0.88525383191716,0.465108216521688,8.33333333333333
89626.791380031,43135.277063454,0.0,0.0,0.0,0.885606873288073,0.464435642457513,8.33333333333333
89626.449658136,43135.770720246,0.0,0.0,0.0,0.885919200812284,0.463839594722275,8.33333333333333
89626.107314983,43136.263946364,0.0,0.0,0.0,0.886190921155986,0.463320246979025,8.33333333333333
89625.764436629,43136.756800691,0.0,0.0,0.0,0.886422123391954,0.462877758335069,8.33333333333333
89625.421109138,43137.249342304,0.0,0.0,0.0,0.88661287835849,0.462512274354826,8.33333333333333
89625.077418525,43137.741630550,0.0,0.0,0.0,0.886763238315209,0.462223927520767,8.33333333333333
89624.733450716,43138.233725101,0.0,0.0,0.0,0.886873236601955,0.462012837699531,8.33333333333333
89624.389291597,43138.725685870,0.0,0.0,0.0,0.886942887299129,0.461879112614421,8.33333333333333
89624.045027023,43139.217573003,0.0,0.0,0.0,0.88697218497282,0.461822848162087,8.33333333333333
89623.700743069,43139.709446510,0.0,0.0,0.0,0.886961104489395,0.461844128600715,8.33333333333333
89623.356525789,43140.201366616,0.0,0.0,0.0,0.886909600949491,0.461943026512594,8.33333333333333
89623.012460553,43140.693393011,0.0,0.0,0.0,0.886819842113111,0.462115318545574,8.33333333333333
89622.668614513,43141.185572756,0.0,0.0,0.0,0.886705177939485,0.462335297609112,8.33333333333333
89622.325036838,43141.677939814,0.0,0.0,0.0,0.886567815929638,0.462598646515261,8.33333333333333
89621.981775823,43142.170527660,0.0,0.0,0.0,0.886407731843265,0.462905317455393,8.33333333333333
89621.638879780,43142.663369657,0.0,0.0,0.0,0.886224905212377,0.463255239993368,8.33333333333333
89621.296397077,43143.156498952,0.0,0.0,0.0,0.886019319493727,0.463648320911305,8.33333333333333
89620.954376063,43143.649948538,0.0,0.0,0.0,0.885790962169221,0.4640844441902,8.33333333333333
89620.612865039,43144.143751251,0.0,0.0,0.0,0.885539824872147,0.464563470976149,8.33333333333333
89620.271912286,43144.637939678,0.0,0.0,0.0,0.885265903568274,0.465085239477074,8.33333333333333
89619.931566154,43145.132545986,0.0,0.0,0.0,0.884969198814655,0.465649564747298,8.33333333333333
89619.591874872,43145.627602136,0.0,0.0,0.0,0.884649715809674,0.466256238905028,8.33333333333333
89619.252886489,43146.123139943,0.0,0.0,0.0,0.8843074645032,0.466905031268589,8.33333333333333
89618.914649049,43146.619190750,0.0,0.0,0.0,0.883942459977002,0.467595688014557,8.33333333333333
89618.577210536,43147.115785471,0.0,0.0,0.0,0.883554722625332,0.468327932250974,8.33333333333333
89618.240619078,43147.612954237,0.0,0.0,0.0,0.883144278657448,0.469101463517879,8.33333333333333
89617.904922133,43148.110727546,0.0,0.0,0.0,0.882711159358194,0.469915959661419,8.33333333333333
89617.570167278,43148.609135046,0.0,0.0,0.0,0.882255402246324,0.470771075159867,8.33333333333333
89617.236401934,43149.108205899,0.0,0.0,0.0,0.88177705102333,0.471666441766424,8.33333333333333
89616.903673437,43149.607968610,0.0,0.0,0.0,0.881276155951625,0.472601668375311,8.33333333333333
89616.572029111,43150.108450878,0.0,0.0,0.0,0.88075277427021,0.47357634085259,8.33333333333333
89616.241580961,43150.609724236,0.0,0.0,0.0,0.880055803538398,0.474870279822168,8.33333333333333
89615.913364041,43151.112460887,0.0,0.0,0.0,0.878595367614406,0.477566937723401,8.33333333333333
89615.589110326,43151.617760877,0.0,0.0,0.0,0.876294101326035,0.481776553996971,8.33333333333333
89615.270610928,43152.126704399,0.0,0.0,0.0,0.873119110383171,0.487506942600513,8.33333333333333
89614.959721558,43152.640329967,0.0,0.0,0.0,0.869024475914904,0.4947690979243,8.33333333333333
89614.658383931,43153.159613416,0.0,0.0,0.0,0.863952433143996,0.503573423906157,8.33333333333333
89614.368638739,43153.685447392,0.0,0.0,0.0,0.857835252508371,0.513924780054338,8.33333333333333
89614.092632206,43154.218614166,0.0,0.0,0.0,0.850598218348178,0.525816195017712,8.33333333333333
89613.832612516,43154.759753131,0.0,0.0,0.0,0.842164104482976,0.539221309965015,8.33333333333333
89613.590917366,43155.309313327,0.0,0.0,0.0,0.832459709561109,0.554085581798908,8.33333333333333
89613.369937050,43155.867517631,0.0,0.0,0.0,0.821424287373416,0.570317578295703,8.33333333333333
89613.172063267,43156.434316539,0.0,0.0,0.0,0.80902006883021,0.587781020644561,8.33333333333333
89612.999615071,43157.009352600,0.0,0.0,0.0,0.79524385570009,0.606289707954254,8.33333333333333
89612.854745646,43157.591942856,0.0,0.0,0.0,0.780138047806402,0.625607405938274,8.33333333333333
89612.739340383,43158.181074130,0.0,0.0,0.0,0.763799140876696,0.645454004864809,8.33333333333333
89612.654925111,43158.775433440,0.0,0.0,0.0,0.746341876841625,0.665562771549401,8.33333333333333
89612.602928364,43159.373493504,0.0,0.0,0.0,0.727536994211968,0.686068452891558,8.33333333333333
89612.585280194,43159.973540516,0.0,0.0,0.0,0.706917361477093,0.707296150167852,8.33333333333333
89612.604514620,43160.573524725,0.0,0.0,0.0,0.683958681957751,0.729520747734166,8.33333333333333
89612.663737512,43161.170868068,0.0,0.0,0.0,0.658071687340275,0.752955280425819,8.33333333333333
89612.766549725,43161.762241232,0.0,0.0,0.0,0.628610170998525,0.777720549373106,8.33333333333333
89612.916876292,43162.343327034,0.0,0.0,0.0,0.594912077323517,0.803790781394399,8.33333333333333
